Validator,PT_VERSION,2.5.0
Validator,ROCBLAS_VERSION,4.2.0-54f305c1-dirty
Validator,HIPBLASLT_VERSION,1000-e6da924d
Validator,ROCM_VERSION,6.2.0.0-66-98a50c5
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
GemmTunableOp_Half_TN,tn_16032_208_8192,Gemm_Hipblaslt_TN_90809,0.151713
GemmTunableOp_Half_TN,tn_8192_2048_3584,Gemm_Rocblas_621282316,0.213932
GemmTunableOp_Half_TN,tn_16032_1024_8192,Gemm_Hipblaslt_TN_90345,0.470016
GemmTunableOp_Half_TN,tn_8192_192_3584,Gemm_Rocblas_621282236,0.0442361
GemmTunableOp_Half_TN,tn_7168_24_8192,Gemm_Rocblas_621285096,0.0390996
GemmTunableOp_Half_TN,tn_8192_64_3584,Gemm_Rocblas_621282183,0.0289007
GemmTunableOp_Half_TN,tn_8192_144_3584,Gemm_Hipblaslt_TN_90694,0.0439396
GemmTunableOp_Half_TN,tn_16032_144_8192,Gemm_Hipblaslt_TN_90730,0.122235
GemmTunableOp_Half_TN,tn_8192_232_3584,Gemm_Rocblas_621282206,0.0508884
GemmTunableOp_Half_TN,tn_8192_80_3584,Gemm_Hipblaslt_TN_90721,0.0363632
GemmTunableOp_Half_TN,tn_7168_4096_8192,Gemm_Rocblas_621282310,0.731511
GemmTunableOp_Half_TN,tn_7168_136_8192,Gemm_Hipblaslt_TN_89324,0.0659418
GemmTunableOp_Half_TN,tn_8192_112_3584,Gemm_Rocblas_621282201,0.0382119
GemmTunableOp_Half_TN,tn_7168_240_8192,Gemm_Rocblas_621282235,0.0794956
GemmTunableOp_Half_TN,tn_7168_144_8192,Gemm_Hipblaslt_TN_90721,0.0695821
GemmTunableOp_Half_TN,tn_7168_56_8192,Gemm_Rocblas_621282087,0.0451668
GemmTunableOp_Half_TN,tn_7168_32_8192,Gemm_Rocblas_621282183,0.0383946
GemmTunableOp_Half_TN,tn_16032_56_8192,Gemm_Hipblaslt_TN_90723,0.0732765
GemmTunableOp_Half_TN,tn_16032_136_8192,Gemm_Hipblaslt_TN_90781,0.120428
GemmTunableOp_Half_TN,tn_8192_32768_1024,Gemm_Hipblaslt_TN_90969,0.941055
GemmTunableOp_Half_TN,tn_7168_8192_8192,Gemm_Hipblaslt_TN_91177,1.55029
